Calendar_Year,Calendar_Month,Date,Date_Value,Mode,Agency
2023,3,Mar-23,2023.25,CCT,SEPTA
2023,3,Mar-23,2023.25,Heavy Rail,SEPTA
2023,3,Mar-23,2023.25,Regional Rail,SEPTA
2023,3,Mar-23,2023.25,Trackless Trolley,SEPTA
2023,3,Mar-23,2023.25,Trolley,SEPTA
2023,4,Apr-23,2023.33,Bus,SEPTA
2023,4,Apr-23,2023.33,CCT,SEPTA
2023,4,Apr-23,2023.33,Heavy Rail,SEPTA
2023,4,Apr-23,2023.33,Regional Rail,SEPTA
2023,4,Apr-23,2023.33,Trackless Trolley,SEPTA
2023,4,Apr-23,2023.33,Trolley,SEPTA
2023,5,May-23,2023.42,Bus,SEPTA
2023,5,May-23,2023.42,CCT,SEPTA
2023,5,May-23,2023.42,Heavy Rail,SEPTA
2023,5,May-23,2023.42,Regional Rail,SEPTA
2023,5,May-23,2023.42,Trackless Trolley,SEPTA
2023,5,May-23,2023.42,Trolley,SEPTA
2023,6,Jun-23,2023.50,Bus,SEPTA
2023,6,Jun-23,2023.50,CCT,SEPTA
2023,6,Jun-23,2023.50,Heavy Rail,SEPTA
2023,6,Jun-23,2023.50,Regional Rail,SEPTA
2023,6,Jun-23,2023.50,Trackless Trolley,SEPTA
2023,6,Jun-23,2023.50,Trolley,SEPTA
2023,7,Jul-23,2023.58,Bus,SEPTA
2023,7,Jul-23,2023.58,CCT,SEPTA
2023,7,Jul-23,2023.58,Heavy Rail,SEPTA
2023,7,Jul-23,2023.58,Regional Rail,SEPTA
2023,7,Jul-23,2023.58,Trackless Trolley,SEPTA
2023,7,Jul-23,2023.58,Trolley,SEPTA
2023,8,Aug-23,2023.67,Bus,SEPTA
2023,8,Aug-23,2023.67,CCT,SEPTA
2023,8,Aug-23,2023.67,Heavy Rail,SEPTA
2023,8,Aug-23,2023.67,Regional Rail,SEPTA
2023,8,Aug-23,2023.67,Trackless Trolley,SEPTA
2023,8,Aug-23,2023.67,Trolley,SEPTA
2023,9,Sep-23,2023.75,Bus,SEPTA
2023,9,Sep-23,2023.75,CCT,SEPTA
2023,9,Sep-23,2023.75,Heavy Rail,SEPTA
2023,9,Sep-23,2023.75,Regional Rail,SEPTA
2023,9,Sep-23,2023.75,Trackless Trolley,SEPTA
2023,9,Sep-23,2023.75,Trolley,SEPTA
2023,10,Oct-23,2023.83,Bus,SEPTA
2023,10,Oct-23,2023.83,CCT,SEPTA
2023,10,Oct-23,2023.83,Heavy Rail,SEPTA
2023,10,Oct-23,2023.83,Regional Rail,SEPTA
2023,10,Oct-23,2023.83,Trackless Trolley,SEPTA
2023,10,Oct-23,2023.83,Trolley,SEPTA
2023,11,Nov-23,2023.92,Bus,SEPTA
2023,11,Nov-23,2023.92,CCT,SEPTA
2023,11,Nov-23,2023.92,Heavy Rail,SEPTA
2023,11,Nov-23,2023.92,Regional Rail,SEPTA
2023,11,Nov-23,2023.92,Trackless Trolley,SEPTA
2023,11,Nov-23,2023.92,Trolley,SEPTA
2023,12,Dec-23,2024.00,Bus,SEPTA
2023,12,Dec-23,2024.00,CCT,SEPTA
2023,12,Dec-23,2024.00,Heavy Rail,SEPTA
2023,12,Dec-23,2024.00,Regional Rail,SEPTA
2023,12,Dec-23,2024.00,Trackless Trolley,SEPTA
2023,12,Dec-23,2024.00,Trolley,SEPTA
2024,1,Jan-24,2024.08,Bus,SEPTA
2024,1,Jan-24,2024.08,CCT,SEPTA
2024,1,Jan-24,2024.08,Heavy Rail,SEPTA
2024,1,Jan-24,2024.08,Regional Rail,SEPTA
2024,1,Jan-24,2024.08,Trackless Trolley,SEPTA
2024,1,Jan-24,2024.08,Trolley,SEPTA
2024,2,Feb-24,2024.17,Bus,SEPTA
2024,2,Feb-24,2024.17,CCT,SEPTA
2024,2,Feb-24,2024.17,Regional Rail,SEPTA
2024,2,Feb-24,2024.17,Heavy Rail,SEPTA
2024,2,Feb-24,2024.17,Trolley,SEPTA
2024,2,Feb-24,2024.17,Trackless Trolley,SEPTA
2024,3,Mar-24,2024.25,Bus,SEPTA
2024,3,Mar-24,2024.25,CCT,SEPTA
2024,3,Mar-24,2024.25,Regional Rail,SEPTA
2024,3,Mar-24,2024.25,Heavy Rail,SEPTA
2024,3,Mar-24,2024.25,Trolley,SEPTA
2024,3,Mar-24,2024.25,Trackless Trolley,SEPTA
2024,4,Apr-24,2024.33,Bus,SEPTA
2024,4,Apr-24,2024.33,CCT,SEPTA
2024,4,Apr-24,2024.33,Regional Rail,SEPTA
2024,4,Apr-24,2024.33,Heavy Rail,SEPTA
2024,4,Apr-24,2024.33,Trolley,SEPTA
2024,4,Apr-24,2024.33,Trackless Trolley,SEPTA
2024,5,May-24,2024.42,Bus,SEPTA
2024,5,May-24,2024.42,CCT,SEPTA
2024,5,May-24,2024.42,Regional Rail,SEPTA
2024,5,May-24,2024.42,Heavy Rail,SEPTA
2024,5,May-24,2024.42,Trolley,SEPTA
2024,5,May-24,2024.42,Trackless Trolley,SEPTA
2024,6,Jun-24,2024.50,Bus,SEPTA
2024,6,Jun-24,2024.50,CCT,SEPTA
2024,6,Jun-24,2024.50,Regional Rail,SEPTA
2024,6,Jun-24,2024.50,Heavy Rail,SEPTA
2024,6,Jun-24,2024.50,Trolley,SEPTA
2024,6,Jun-24,2024.50,Trackless Trolley,SEPTA
2024,7,Jul-24,2024.58,Bus,SEPTA
2024,7,Jul-24,2024.58,CCT,SEPTA
2024,7,Jul-24,2024.58,Regional Rail,SEPTA
2024,7,Jul-24,2024.58,Heavy Rail,SEPTA
2024,7,Jul-24,2024.58,Trolley,SEPTA
2024,7,Jul-24,2024.58,Trackless Trolley,SEPTA
2024,8,Aug-24,2024.67,Bus,SEPTA
2024,8,Aug-24,2024.67,CCT,SEPTA
2024,8,Aug-24,2024.67,Regional Rail,SEPTA
2024,8,Aug-24,2024.67,Heavy Rail,SEPTA
2024,8,Aug-24,2024.67,Trolley,SEPTA
2024,8,Aug-24,2024.67,Trackless Trolley,SEPTA
2024,9,Sep-24,2024.75,Bus,SEPTA
2024,9,Sep-24,2024.75,CCT,SEPTA
2024,9,Sep-24,2024.75,Regional Rail,SEPTA
2024,9,Sep-24,2024.75,Heavy Rail,SEPTA
2024,9,Sep-24,2024.75,Trolley,SEPTA
2024,9,Sep-24,2024.75,Trackless Trolley,SEPTA
2024,10,Oct-24,2024.83,Bus,SEPTA
2024,10,Oct-24,2024.83,CCT,SEPTA
2024,10,Oct-24,2024.83,Regional Rail,SEPTA
2024,10,Oct-24,2024.83,Heavy Rail,SEPTA
2024,10,Oct-24,2024.83,Trolley,SEPTA
2024,10,Oct-24,2024.83,Trackless Trolley,SEPTA
2024,11,Nov-24,2024.92,Bus,SEPTA
2024,11,Nov-24,2024.92,CCT,SEPTA
2024,11,Nov-24,2024.92,Regional Rail,SEPTA
2024,11,Nov-24,2024.92,Heavy Rail,SEPTA
2024,11,Nov-24,2024.92,Trolley,SEPTA
2024,11,Nov-24,2024.92,Trackless Trolley,SEPTA
2024,12,Dec-24,2025.00,Bus,SEPTA
2024,12,Dec-24,2025.00,CCT,SEPTA
2024,12,Dec-24,2025.00,Regional Rail,SEPTA
2024,12,Dec-24,2025.00,Heavy Rail,SEPTA
2024,12,Dec-24,2025.00,Trolley,SEPTA
2024,12,Dec-24,2025.00,Trackless Trolley,SEPTA
2025,1,Jan-25,2025.08,Bus,SEPTA
2025,1,Jan-25,2025.08,CCT,SEPTA
2025,1,Jan-25,2025.08,Regional Rail,SEPTA
2025,1,Jan-25,2025.08,Heavy Rail,SEPTA
2025,1,Jan-25,2025.08,Trolley,SEPTA
2025,1,Jan-25,2025.08,Trackless Trolley,SEPTA
2025,2,Feb-25,2025.17,Bus,SEPTA
2025,2,Feb-25,2025.17,CCT,SEPTA
2025,2,Feb-25,2025.17,Regional Rail,SEPTA
2025,2,Feb-25,2025.17,Heavy Rail,SEPTA
2025,2,Feb-25,2025.17,Trolley,SEPTA
2025,2,Feb-25,2025.17,Trackless Trolley,SEPTA
2025,3,Mar-25,2025.25,Bus,SEPTA
2025,3,Mar-25,2025.25,CCT,SEPTA
2025,3,Mar-25,2025.25,Regional Rail,SEPTA
2025,3,Mar-25,2025.25,Heavy Rail,SEPTA
2025,3,Mar-25,2025.25,Trolley,SEPTA
2025,3,Mar-25,2025.25,Trackless Trolley,SEPTA
2025,4,Apr-25,2025.33,Bus,SEPTA
2025,4,Apr-25,2025.33,CCT,SEPTA
2025,4,Apr-25,2025.33,Regional Rail,SEPTA
2025,4,Apr-25,2025.33,Heavy Rail,SEPTA
2025,4,Apr-25,2025.33,Trolley,SEPTA
2025,4,Apr-25,2025.33,Trackless Trolley,SEPTA
2025,6,Jun-25,2025.50,Heavy Rail,MBTA
2025,06,Jun-25,2025.50,All Bus,MBTA
2025,06,Jun-25,2025.50,Commuter Rail,MBTA
2025,03,Mar-25,2025.25,All Bus,MBTA
2025,03,Mar-25,2025.25,Commuter Rail,MBTA
2025,01,Jan-25,2025.08,Heavy Rail,MBTA
2025,01,Jan-25,2025.08,All Bus,MBTA
2025,01,Jan-25,2025.08,Commuter Rail,MBTA
2025,05,May-25,2025.42,Heavy Rail,MBTA
2025,04,Apr-25,2025.33,All Bus,MBTA
2025,04,Apr-25,2025.33,Commuter Rail,MBTA
