Calendar_Year,Calendar_Month,Date,Mode,Average_Daily_Ridership,Source,ObjectId,Agency
2024,7,Jul-24,Regional Rail,74700,Revenue,399,SEPTA
2024,7,Jul-24,Heavy Rail,187200,Revenue,400,SEPTA
2024,7,Jul-24,Trolley,41973,APC,401,SEPTA
2024,7,Jul-24,Trackless Trolley,10682,APC,402,SEPTA
2024,8,Aug-24,Bus,334527,APC,403,SEPTA
2024,8,Aug-24,CCT,3057,Revenue,404,SEPTA
2024,8,Aug-24,Regional Rail,74066,Revenue,405,SEPTA
2024,8,Aug-24,Heavy Rail,205179,Revenue,406,SEPTA
2024,8,Aug-24,Trolley,47908,APC,407,SEPTA
2024,8,Aug-24,Trackless Trolley,11075,APC,408,SEPTA
2024,9,Sep-24,Bus,401877,APC,409,SEPTA
2024,9,Sep-24,CCT,3139,Revenue,410,SEPTA
2024,9,Sep-24,Regional Rail,84360,Revenue,411,SEPTA
2024,9,Sep-24,Heavy Rail,230261,Revenue,412,SEPTA
